issue_id,issue_number,issue_title,issue_body,comment_id,comment_body
2676714216,2863,Uncaught Error: Maximum update depth exceeded (implementing Tic Tac Toe Example from the docs) ,"Hello,

I am new to zustand. I was trying out the Tic Tac Toe implementation from the docs. I just copy pasted the useGameStore function from the docs page : [https://zustand.docs.pmnd.rs/guides/tutorial-tic-tac-toe#lifting-state-up](https://zustand.docs.pmnd.rs/guides/tutorial-tic-tac-toe#lifting-state-up)
and i got this Error: 
![Screenshot 2024-11-20 231459](https://github.com/user-attachments/assets/949204ad-d7ec-4585-8692-0cc7865c28fb)

The actual code i have written for your reference: 

``` import './index.css'
import { create } from 'zustand'
import { combine } from 'zustand/middleware'

const useGameStore = create(
  combine({ squares: Array(9).fill(null) }, (set) => {
    return {
      setSquares: (nextSquares) => {
        set((state) => ({
          squares:
            typeof nextSquares === 'function'
              ? nextSquares(state.squares)
              : nextSquares,
        }))
      },
    }
  }),
)

function App() {
  const [squares, setSquares] = useGameStore((state) => [
    state.squares,
    state.setSquares,
  ])
  return (
    <>
      <div className='flex justify-center items-center h-[100vh] w-[100vw]'>
        <div className=''>
          <h1 className='text-4xl text-center'>Tic Tac Toe</h1>
          <br />
          <div className='grid grid-cols-3 h-[300px] w-[300px] border border-solid'>
          </div>
        </div>
      </div>
    </>
  )
}

export default App 
```
### My dependencies: 
```
  ""dependencies"": {
    ""react"": ""^18.3.1"",
    ""react-dom"": ""^18.3.1"",
    ""zustand"": ""^5.0.1""
  },
```

Please help. I am new to state management and a newbie trying to learn
",2489246339,"@venkatmidhunmareedu my bad I need to update the tutorial to be compatible with v4 and v5, but in a nutshell we need stable selector results, we have two options:

this one

```ts
const squares = useGameStore(state => state.squares)
const setSquares = useGameStore(state => state.setSquares)
```

or this one using `useShallow`

```ts
const [squares, setSquares] = useGameStore(useShallow((state) => [
  state.squares,
  state.setSquares,
]))
```

on v4 and v5 no stable selector results could cause performance issues, on v4 that is not optimized and could hide some issues but does not mean that does not happen on v4, on v5 that is more visible"
2676714216,2863,Uncaught Error: Maximum update depth exceeded (implementing Tic Tac Toe Example from the docs) ,"Hello,

I am new to zustand. I was trying out the Tic Tac Toe implementation from the docs. I just copy pasted the useGameStore function from the docs page : [https://zustand.docs.pmnd.rs/guides/tutorial-tic-tac-toe#lifting-state-up](https://zustand.docs.pmnd.rs/guides/tutorial-tic-tac-toe#lifting-state-up)
and i got this Error: 
![Screenshot 2024-11-20 231459](https://github.com/user-attachments/assets/949204ad-d7ec-4585-8692-0cc7865c28fb)

The actual code i have written for your reference: 

``` import './index.css'
import { create } from 'zustand'
import { combine } from 'zustand/middleware'

const useGameStore = create(
  combine({ squares: Array(9).fill(null) }, (set) => {
    return {
      setSquares: (nextSquares) => {
        set((state) => ({
          squares:
            typeof nextSquares === 'function'
              ? nextSquares(state.squares)
              : nextSquares,
        }))
      },
    }
  }),
)

function App() {
  const [squares, setSquares] = useGameStore((state) => [
    state.squares,
    state.setSquares,
  ])
  return (
    <>
      <div className='flex justify-center items-center h-[100vh] w-[100vw]'>
        <div className=''>
          <h1 className='text-4xl text-center'>Tic Tac Toe</h1>
          <br />
          <div className='grid grid-cols-3 h-[300px] w-[300px] border border-solid'>
          </div>
        </div>
      </div>
    </>
  )
}

export default App 
```
### My dependencies: 
```
  ""dependencies"": {
    ""react"": ""^18.3.1"",
    ""react-dom"": ""^18.3.1"",
    ""zustand"": ""^5.0.1""
  },
```

Please help. I am new to state management and a newbie trying to learn
",2489309585,"Hey @dbritto-dev , Thanks for helping out. 
The first one 
```
const squares = useGameStore(state => state.squares)
const setSquares = useGameStore(state => state.setSquares)
```

worked out for me. As for the second one, Their are two types of useShallow i can find.
First one:
```
import { useShallow } from 'zustand/shallow'
``` 
Second one:
```
import { useShallow } from 'zustand/react/shallow'
```
Both of them worked for me. But why two? 
Also VS code doesn't give any auto completion like this:

![Screenshot 2024-11-21 000704](https://github.com/user-attachments/assets/c335a6ff-b8cd-40bb-9ff6-0ddf8dd11782)

But once you manually type any of above two import statements, it recognizes:

![image](https://github.com/user-attachments/assets/50310285-4862-406f-a4c5-ed37c11cbe99)

As for the discussion [https://github.com/pmndrs/zustand/discussions/2204](https://github.com/pmndrs/zustand/discussions/2204), it is said that this would be resolved in version 5. 

"
2676714216,2863,Uncaught Error: Maximum update depth exceeded (implementing Tic Tac Toe Example from the docs) ,"Hello,

I am new to zustand. I was trying out the Tic Tac Toe implementation from the docs. I just copy pasted the useGameStore function from the docs page : [https://zustand.docs.pmnd.rs/guides/tutorial-tic-tac-toe#lifting-state-up](https://zustand.docs.pmnd.rs/guides/tutorial-tic-tac-toe#lifting-state-up)
and i got this Error: 
![Screenshot 2024-11-20 231459](https://github.com/user-attachments/assets/949204ad-d7ec-4585-8692-0cc7865c28fb)

The actual code i have written for your reference: 

``` import './index.css'
import { create } from 'zustand'
import { combine } from 'zustand/middleware'

const useGameStore = create(
  combine({ squares: Array(9).fill(null) }, (set) => {
    return {
      setSquares: (nextSquares) => {
        set((state) => ({
          squares:
            typeof nextSquares === 'function'
              ? nextSquares(state.squares)
              : nextSquares,
        }))
      },
    }
  }),
)

function App() {
  const [squares, setSquares] = useGameStore((state) => [
    state.squares,
    state.setSquares,
  ])
  return (
    <>
      <div className='flex justify-center items-center h-[100vh] w-[100vw]'>
        <div className=''>
          <h1 className='text-4xl text-center'>Tic Tac Toe</h1>
          <br />
          <div className='grid grid-cols-3 h-[300px] w-[300px] border border-solid'>
          </div>
        </div>
      </div>
    </>
  )
}

export default App 
```
### My dependencies: 
```
  ""dependencies"": {
    ""react"": ""^18.3.1"",
    ""react-dom"": ""^18.3.1"",
    ""zustand"": ""^5.0.1""
  },
```

Please help. I am new to state management and a newbie trying to learn
",2489423581,@venkatmidhunmareedu interesting I'll look into that
2640828193,2838, Error when building a React application with Zustand.,"'m encountering an error when building a React application with Zustand. During development (yarn start), everything runs smoothly without issues. However, when running the production build (yarn build), I receive the following error:

`Attempted import error: 'createJSONStorage' is not exported from 'zustand/middleware'.`

```
import { createJSONStorage, persist, StateStorage } from 'zustand/middleware'
import { create } from 'zustand/react'
import { immer } from 'zustand/middleware/immer'

const zustandStorage: StateStorage = {
  setItem: (name, value) => {
    return storage.set(name, value)
  },
  getItem: (name) => {
    const value = storage.getString(name)
    return value ?? null
  },
  removeItem: (name) => {
    return storage.delete(name)
  },
}

...

    {
      name: 'chat-storage', 
      storage: createJSONStorage(() => zustandStorage), 
    },
```

This is my package.json
![image](https://github.com/user-attachments/assets/dc33559c-e1b3-4bba-980d-741fb4b08e29)

Please help me resolve it
Thanks",,
2596974176,2800,Mapping an array in useStore causes an infinite loop. I want to confirm if this is a bug.,"```typescript
const filterData = useTestStore(
    useShallow((state) =>
      state.data
        // The following line of code causes an infinite loop:
        // .map((item) => ({ ...item, name: 'name: ' }))
        .filter((item) => item.status === 1)
    )
  );
```

```typescript
// store.ts
import { create } from 'zustand';

type State = {
  data: { name: string; status: 0 | 1 }[];
};
type Action = {
  setData: (newData: State['data']) => void;
};
type Store = State & Action;

const initState: State = {
  data: [{ name: 'jack', status: 1 }],
};

export const useTestStore = create<Store>()((set) => ({
  ...initState,
  setData: (newData) => {
    set({
      data: newData,
    });
  },
}));
```

Repository to reproduce the issue:
[https://stackblitz.com/edit/vitejs-vite-8cvrr3?file=src%2Ftest%2Findex.tsx](https://stackblitz.com/edit/vitejs-vite-8cvrr3?file=src%2Ftest%2Findex.tsx)
",,
2586931668,2789,Zustand 5 is too good.,"Saying this is a piece of art is an understatement - this library is in the upper echelon with things like Zod, tRPC or even Typescript itself or linters. Thank you Poimandres, @dai-shi .

I ported my app to 5.0 (clean, without use-sync-external-store), and couldn't be happier of the results.
- in particular removing the cause of 'recursion' errors (if you know you know) has added stability to states and made the app faster and more resilient, and proved a great investment for UX!

I couldn't find a way to comment on the release itself, so here is to you!
🎊 Congrats to the Zustand team!!! 🥇 

(and you can safely close this ticket :)",2412481633,So nice to hear that! (Let's keep this open for a while.)
2586931668,2789,Zustand 5 is too good.,"Saying this is a piece of art is an understatement - this library is in the upper echelon with things like Zod, tRPC or even Typescript itself or linters. Thank you Poimandres, @dai-shi .

I ported my app to 5.0 (clean, without use-sync-external-store), and couldn't be happier of the results.
- in particular removing the cause of 'recursion' errors (if you know you know) has added stability to states and made the app faster and more resilient, and proved a great investment for UX!

I couldn't find a way to comment on the release itself, so here is to you!
🎊 Congrats to the Zustand team!!! 🥇 

(and you can safely close this ticket :)",2415817815,"@dai-shi My comment could be off-topic. 

Initially, I believed that zustand was React specific because the `create` returned a hook.
But zustand is very good with vanilla JavaScript. The ability to create stores using `createStore` and use with React or just JavaScript and DOM is outstanding. I am used to a pattern where I create stateful services (like sdk) for front-end that would return store, actions and selectors and they could be paired with JS or React. Subscriptions also helped me avoid using `useEffect` when UI is not a concern with the effect.
"
2586931668,2789,Zustand 5 is too good.,"Saying this is a piece of art is an understatement - this library is in the upper echelon with things like Zod, tRPC or even Typescript itself or linters. Thank you Poimandres, @dai-shi .

I ported my app to 5.0 (clean, without use-sync-external-store), and couldn't be happier of the results.
- in particular removing the cause of 'recursion' errors (if you know you know) has added stability to states and made the app faster and more resilient, and proved a great investment for UX!

I couldn't find a way to comment on the release itself, so here is to you!
🎊 Congrats to the Zustand team!!! 🥇 

(and you can safely close this ticket :)",2437344081,"> Saying this is a piece of art is an understatement - this library is in the upper echelon with things like Zod, tRPC or even Typescript itself or linters. Thank you Poimandres, @dai-shi .
> 
> I ported my app to 5.0 (clean, without use-sync-external-store), and couldn't be happier of the results.
> 
> * in particular removing the cause of 'recursion' errors (if you know you know) has added stability to states and made the app faster and more resilient, and proved a great investment for UX!
> 
> I couldn't find a way to comment on the release itself, so here is to you! 🎊 Congrats to the Zustand team!!! 🥇
> 
> (and you can safely close this ticket :)

absolutely agree!.I think zustand is the most perfect store library for React.~ I love it!"
2586931668,2789,Zustand 5 is too good.,"Saying this is a piece of art is an understatement - this library is in the upper echelon with things like Zod, tRPC or even Typescript itself or linters. Thank you Poimandres, @dai-shi .

I ported my app to 5.0 (clean, without use-sync-external-store), and couldn't be happier of the results.
- in particular removing the cause of 'recursion' errors (if you know you know) has added stability to states and made the app faster and more resilient, and proved a great investment for UX!

I couldn't find a way to comment on the release itself, so here is to you!
🎊 Congrats to the Zustand team!!! 🥇 

(and you can safely close this ticket :)",2463125464,"Indeed, thank you so much for this lib <3 "
2586931668,2789,Zustand 5 is too good.,"Saying this is a piece of art is an understatement - this library is in the upper echelon with things like Zod, tRPC or even Typescript itself or linters. Thank you Poimandres, @dai-shi .

I ported my app to 5.0 (clean, without use-sync-external-store), and couldn't be happier of the results.
- in particular removing the cause of 'recursion' errors (if you know you know) has added stability to states and made the app faster and more resilient, and proved a great investment for UX!

I couldn't find a way to comment on the release itself, so here is to you!
🎊 Congrats to the Zustand team!!! 🥇 

(and you can safely close this ticket :)",2483701333,I will screenshot this issue in my ADR for choosing zustand as state managment library :D
